word,log_odds,valence,arousal,dominance
blooming,-0.6702701679484101,0.86,0.452,0.593
agua,0.7002758362033417,0.598,0.18,0.436
expense,-0.2975948826632366,0.317,0.451,0.377
loose,-0.19581218835329411,0.573,0.312,0.365
patient,-0.2925418148118452,0.583,0.193,0.34
fall,-0.4838327275539486,0.177,0.657,0.221
breakdown,0.022877012611535213,0.365,0.423,0.361
cacophony,-0.5524871322920265,0.408,0.562,0.44
piglet,1.3934230167632868,0.54,0.443,0.25
sediment,0.14066004826791878,0.438,0.306,0.372
negligible,0.22767142525754863,0.177,0.292,0.232
canopy,-1.4687778641661817,0.615,0.264,0.398
excellence,-0.3806368753653673,0.958,0.62,0.907
irresponsible,0.4089240348625981,0.177,0.68,0.241
rigid,0.007128655643396304,0.357,0.552,0.591
adverse,0.6514856720339094,0.323,0.61,0.385
bleed,0.9879579086551225,0.041,0.843,0.346
eject,0.8338072288278641,0.434,0.656,0.559
booger,0.14066004826791878,0.399,0.537,0.427
creole,-0.5524871322920265,0.667,0.357,0.523
admixture,-0.5524871322920265,0.45,0.375,0.438
trade,0.056102660239855634,0.561,0.544,0.69
appetizer,-0.8274000551272729,0.755,0.56,0.406
sucker,0.5201496699728224,0.265,0.393,0.204
canary,1.2392723369360286,0.582,0.276,0.265
skilled,-1.8850372174052263,0.886,0.614,0.929
charger,-0.4471266166342003,0.531,0.418,0.545
single,-0.24008501203128227,0.291,0.354,0.259
shed,-0.46325599856408395,0.427,0.402,0.47
varying,-0.1744209983719766,0.552,0.471,0.385
intolerant,0.2207027559414552,0.135,0.676,0.509
vision,-0.31132507547513844,0.708,0.447,0.742
autistic,-0.15944454418241924,0.367,0.337,0.404
bile,0.5461251563760832,0.157,0.461,0.324
strapping,-0.5524871322920265,0.552,0.413,0.454
retrieve,0.07612152713034769,0.74,0.576,0.705
lie,0.3899299041743486,0.13,0.725,0.272
availability,-0.5524871322920265,0.796,0.544,0.6
poison,1.0192104521592271,0.083,0.76,0.573
unprepared,0.30771413293108496,0.204,0.45,0.152
department,1.0789296868608491,0.708,0.358,0.642
stuffing,0.8584998414182354,0.417,0.324,0.304
sundae,-1.0990308386600964,0.743,0.414,0.404
higher,-0.11265438067965425,0.866,0.528,0.713
cooking,-0.19214918059455707,0.694,0.51,0.434
icing,-0.25702291939819055,0.688,0.452,0.411
fussy,0.04221997545466626,0.417,0.643,0.519
cry,-0.23285346003364327,0.133,0.627,0.255
secretly,-0.35181643682987535,0.525,0.404,0.479
incidentally,0.14066004826791878,0.479,0.5,0.5
cargo,-0.26480505984024566,0.408,0.444,0.455
founding,-0.37016557549807194,0.698,0.404,0.898
obese,-0.26480505984024566,0.133,0.427,0.25
equidistant,-0.5524871322920265,0.375,0.406,0.509
picture,-0.20187281296498516,0.714,0.308,0.462
error,0.14066004826791859,0.094,0.559,0.198
property,0.7631896616139108,0.74,0.221,0.805
tasting,0.1703232400914777,0.781,0.603,0.6
appetite,0.07073910246841345,0.704,0.637,0.581
advisable,-0.6325298399655629,0.867,0.48,0.51
personnel,0.12606124884676595,0.729,0.344,0.587
perch,0.14066004826791878,0.531,0.3,0.314
nourishment,1.4399430323981797,0.786,0.29,0.631
audit,0.5461251563760832,0.375,0.562,0.735
magnifying,0.14066004826791859,0.594,0.265,0.406
advantage,-0.3061902760030999,0.917,0.548,0.859
class,-0.3497045036267319,0.656,0.314,0.522
demanding,0.3450725628760653,0.396,0.75,0.828
handmade,1.0512201054330887,0.776,0.383,0.475
prayer,0.9515902644842475,0.745,0.217,0.604
claim,0.2290710056119719,0.255,0.76,0.473
blowing,-0.34241566254516953,0.521,0.472,0.434
sweet,0.6867400840741964,0.668,0.418,0.382
lush,-0.19581218835329425,0.74,0.783,0.833
vertigo,-0.957952240400191,0.292,0.655,0.445
estimation,1.2392723369360283,0.74,0.48,0.589
permitting,-0.14702202418386207,0.724,0.481,0.661
pug,-0.5524871322920265,0.6,0.298,0.462
trader,0.5461251563760832,0.562,0.632,0.854
occupied,-0.31034708028716174,0.337,0.546,0.441
